Trial,Attempts
7874,342196
4650,273237
3411,182493
8917,132029
1056,1473
9863,358589
2511,193852
9519,80306
1356,95108
5276,452864
7868,39529
633,9288
8404,3599
9107,18872
6586,205694
1335,32679
7606,5814
595,670086
261,179960
9704,29393
9308,354930
3246,210249
2383,137864
428,113226
2009,81861
6038,355565
4826,567699
406,123593
8652,94910
5891,46685
9722,413012
6128,30350
7683,5357
6216,1243377
4368,50745
7258,273113
243,94190
8244,36909
6320,222240
7001,132997
3309,236842
5337,319371
2322,127464
3607,349149
8322,19334
6283,84578
9707,58304
9576,205596
1569,63285
9191,639180
2943,222795
553,152800
2689,13834
4207,116115
3330,273866
6133,21637
3638,38563
3760,72146
8147,230896
4252,53759
1276,111141
3925,291527
4298,108252
5231,117056
910,489645
6223,1349257
7400,21908
2898,191556
9965,165146
2223,300141
9068,114456
2552,215907
7073,287751
530,480226
4715,92558
7769,248116
7992,5827
8353,29148
9176,189698
4277,26393
5756,190672
9630,4491
7801,4681
2204,138074
7487,244065
3801,385168
6379,119919
6039,56030
1367,142183
815,301888
8567,363661
6740,636
5139,156304
8479,128415
6055,420085
8328,127888
9782,51295
8415,111645
7296,486243
3908,305027
4206,79098
6821,103307
9359,12575
322,149409
6841,122614
1601,492175
6566,295973
3287,153455
4061,1476
2956,349930
1168,51423
5423,78696
7498,92708
9498,15014
2465,459138
986,85664
9213,36593
2595,168655
3008,654316
9097,230177
5742,392447
5094,47862
1423,1101300
9881,60814
3932,667027
4235,296048
6380,81580
9261,254008
896,145995
4997,157944
6095,32094
6760,142191
3171,29706
7166,551653
7575,131600
6367,438133
6178,690104
3514,51420
8089,117087
119,35420
2006,89612
6666,243653
9317,81710
39,81218
1586,504029
2014,93000
339,96355
4557,84988
2730,536456
8276,500343
6871,154731
2832,261589
3665,1886
4043,178015
2313,303494
3090,34471
1467,525536
6998,2245
9174,163445
8704,23571
5057,411600
5184,29365
1187,17776
8224,106155
1881,36864
1260,529800
8935,234113
6005,190025
7689,219786
129,10342
8553,75236
9520,8432
4260,293671
5363,259087
5024,831350
2663,31580
1198,437767
8180,143338
9260,102183
9002,41309
1156,254640
6544,61006
9160,67999
397,306892
8611,278715
1236,92046
1249,173996
2551,29845
9119,98344
680,255259
7731,223875
4809,126519
4764,781257
1541,122373
3501,350170
3787,218760
7851,9569
6658,48137
1036,519773
8830,61942
2598,103838
2646,61091
3694,1965
9486,87116
7553,69583
4193,431153
7558,53301
5282,557577
8852,106681
1411,2558
